modelo,acuracia_mean,acuracia_std,precisao_mean,precisao_std,recall_mean,recall_std,f1_mean,f1_std,t_treino_s_mean,t_treino_s_std
QSVC (kernel quântico),0.8333333333333328,0.07273929674533071,0.8667454481792715,0.09547020819445443,0.7986111111111105,0.10681165741027578,0.8261427684802293,0.07856549773275168,34.721802743125,1.0595987771429756
Random Forest,0.802083333333333,0.03462287374328387,0.8292696177661345,0.03189600382277235,0.7638888888888884,0.09272477337736433,0.7918259691966368,0.04871828853510542,0.29631175387500225,0.004084512609328971
SVM (RBF),0.7326388888888885,0.0662977557404908,0.8570528156054471,0.13354272663189048,0.5763888888888885,0.11477107034904392,0.6800260383825452,0.08584476488805264,0.00145143075000875,0.00011114158992477461
VQC (variacional),0.5868055555555551,0.10333664015872832,0.6437391774891772,0.1374099192561723,0.49305555555555514,0.1309223149708223,0.5410433223497074,0.09528237520961644,35.601878771249986,0.9652371297573056
